Week_Index,Epstein_Friction_Index,Institutional_Compliance_Index,Correlation_Note
1,5,1,Lagged 2-week period
2,8,2,Lagged 2-week period
3,9,3,Lagged 2-week period
4,4,6,Lagged 2-week period
5,3,8,Lagged 2-week period
6,2,9,Lagged 2-week period
7,7,2,Lagged 2-week period
8,8,3,Lagged 2-week period
9,9,4,Lagged 2-week period
10,5,7,Lagged 2-week period
11,2,8,Lagged 2-week period
12,1,9,Lagged 2-week period
13,4,1,Lagged 2-week period
14,6,2,Lagged 2-week period
15,8,3,Lagged 2-week period
16,9,6,Lagged 2-week period
17,3,8,Lagged 2-week period
18,2,9,Lagged 2-week period
19,1,2,Lagged 2-week period
20,5,3,Lagged 2-week period
21,8,4,Lagged 2-week period
22,9,6,Lagged 2-week period
23,10,8,Lagged 2-week period
24,4,10,Lagged 2-week period
25,3,2,Lagged 2-week period
26,2,1,Lagged 2-week period
27,9,3,Lagged 2-week period
28,10,8,Lagged 2-week period
29,10,9,Lagged 2-week period
30,10,10,Lagged 2-week period
